序号,股票代码,股票简称,最新价,涨跌幅,换手率,流入资金,流出资金,净额,成交额
1346,001326,联域股份,56.44,0.97%,8.03%,6018.99万,4572.12万,1446.87万,1.08亿
1347,301135,瑞德智能,30.19,0.97%,2.19%,3134.48万,1902.18万,1232.30万,5036.65万
1348,603151,邦基科技,18.76,0.97%,1.63%,3061.69万,2145.79万,915.90万,5207.48万
1349,605555,德昌股份,17.64,0.97%,1.16%,5433.56万,4543.14万,890.41万,9976.69万
1350,688718,唯赛勃,14.57,0.97%,1.09%,1337.51万,1430.63万,-93.12万,2768.14万
1351,605378,野马电池,21.81,0.97%,0.92%,2965.45万,2271.64万,693.82万,5237.09万
1352,603579,荣泰健康,24.95,0.97%,1.57%,4090.20万,3740.70万,349.50万,7830.90万
1353,601138,工业富联,54.4,0.97%,0.69%,38.29亿,36.26亿,2.03亿,74.55亿
1354,600599,*ST熊猫,7.27,0.97%,2.17%,1306.26万,1327.90万,-21.64万,2634.16万
1355,002662,峰璟股份,4.17,0.97%,1.58%,5264.03万,4499.11万,764.91万,9846.08万
1356,002274,华昌化工,6.25,0.97%,1.84%,6034.18万,4800.27万,1233.90万,1.08亿
1357,000902,新洋丰,16.63,0.97%,0.92%,1.06亿,6905.73万,3723.07万,1.77亿
1358,301041,金百泽,28.12,0.97%,3.38%,3994.25万,3531.78万,462.47万,7526.04万
1359,000670,盈方微,8.38,0.96%,3.72%,1.30亿,1.23亿,749.03万,2.56亿
1360,600617,国新能源,3.17,0.96%,1.40%,4487.42万,3373.22万,1114.21万,7860.65万
1361,300644,南京聚隆,33.54,0.96%,3.38%,5935.36万,3974.66万,1960.70万,9910.02万
1362,300637,扬帆新材,12.57,0.96%,2.02%,3392.79万,2573.13万,819.66万,5965.91万
1363,300513,恒实科技,9.5,0.96%,1.96%,2612.85万,2726.91万,-114.06万,5354.30万
1364,002210,飞马国际,3.17,0.96%,2.37%,1.22亿,7701.45万,4513.58万,1.99亿
1365,000531,穗恒运A,6.31,0.96%,1.12%,3392.36万,2985.54万,406.82万,6404.30万
1366,301580,爱迪特,51.2,0.95%,2.32%,4603.72万,3992.62万,611.10万,8596.34万
1367,688772,珠海冠宇,19.18,0.95%,1.69%,2.05亿,1.63亿,4186.66万,3.68亿
1368,603686,福龙马,25.55,0.95%,10.78%,5.79亿,5.66亿,1293.21万,11.45亿
1369,603168,莎普爱思,7.45,0.95%,1.40%,2099.55万,1784.66万,314.88万,3884.21万
1370,002479,富春环保,5.29,0.95%,1.17%,2935.75万,2416.32万,519.43万,5354.83万
1371,603829,洛凯股份,23.69,0.94%,1.86%,5224.58万,3004.78万,2219.80万,8229.36万
1372,003017,大洋生物,32.16,0.94%,3.14%,4177.34万,2851.54万,1325.80万,7028.88万
1373,300992,泰福泵业,31.09,0.94%,3.94%,5206.46万,4249.06万,957.41万,9455.52万
1374,300952,恒辉安防,47.1,0.94%,6.63%,1.77亿,1.50亿,2648.01万,3.27亿
1375,600847,万里股份,13.91,0.94%,1.67%,1684.89万,1881.31万,-196.42万,3566.20万
1376,688722,同益中,20.3,0.94%,2.72%,6958.22万,5478.93万,1479.29万,1.24亿
1377,603330,天洋新材,7.5,0.94%,1.33%,2092.14万,2211.48万,-119.34万,4303.61万
1378,600888,新疆众和,8.61,0.94%,2.05%,1.42亿,1.07亿,3488.35万,2.48亿
1379,600490,鹏欣资源,8.61,0.94%,3.76%,3.34亿,3.05亿,2905.33万,6.39亿
