序号,股票代码,股票简称,最新价,涨跌幅,换手率,流入资金,流出资金,净额,成交额
1,300912,凯龙高科,34.3,20.01%,2.03%,0.00,5989.58万,-5989.58万,5989.58万
2,301312,智立方,80.33,20.00%,16.49%,4.10亿,3.29亿,8043.14万,7.39亿
3,300461,田中精机,50.57,20.00%,10.93%,4.00亿,3.52亿,4719.23万,7.52亿
4,300264,佳创视讯,8.08,17.27%,28.24%,5.05亿,2.76亿,2.29亿,7.96亿
5,300953,震裕科技,176.55,13.39%,9.02%,12.48亿,6.61亿,5.87亿,19.10亿
6,301268,铭利达,22.57,13.36%,4.86%,2.26亿,1.41亿,8511.62万,3.67亿
7,300158,振东制药,6.5,13.24%,16.63%,6.31亿,4.37亿,1.95亿,10.76亿
8,688530,欧莱新材,28.91,12.93%,35.61%,3.58亿,3.28亿,2937.19万,6.86亿
9,301636,泽润新能,103.89,12.19%,53.77%,4.22亿,4.25亿,-269.72万,8.47亿
10,300927,江天化学,36.68,11.66%,21.18%,5.45亿,5.53亿,-790.68万,10.98亿
11,301529,福赛科技,140.99,11.54%,13.41%,4.99亿,3.37亿,1.62亿,8.36亿
12,300483,首华燃气,17.08,10.98%,14.52%,4.60亿,2.95亿,1.65亿,7.56亿
13,300617,安靠智电,49.01,10.56%,12.60%,5.03亿,3.38亿,1.64亿,8.41亿
14,688275,万润新能,86.5,10.26%,11.48%,5.03亿,3.23亿,1.80亿,8.26亿
15,000056,皇庭国际,2.28,10.14%,15.78%,1.26亿,1.94亿,-6778.97万,3.21亿
16,688428,诺诚健华,24.02,10.13%,8.82%,3.25亿,2.31亿,9406.06万,5.56亿
17,002506,协鑫集成,4.58,10.10%,30.24%,40.49亿,34.29亿,6.20亿,74.98亿
18,600722,金牛化工,8.64,10.06%,11.17%,3.30亿,3.01亿,2958.91万,6.31亿
19,002519,银河电子,9.52,10.06%,25.43%,12.34亿,13.13亿,-7928.30万,25.57亿
20,002634,棒杰股份,6.9,10.05%,3.24%,2797.39万,6925.67万,-4128.28万,9884.17万
21,002728,特一药业,13.15,10.04%,13.86%,4959.06万,6.34亿,-5.84亿,6.87亿
22,002361,神剑股份,15.24,10.04%,37.84%,22.50亿,21.83亿,6722.00万,44.33亿
23,002015,协鑫能科,12.06,10.04%,6.05%,6.81亿,4.59亿,2.22亿,11.41亿
24,603876,鼎胜新材,17.77,10.03%,4.32%,4.06亿,2.82亿,1.24亿,6.88亿
25,603618,杭电股份,13.71,10.03%,18.02%,7.46亿,9.05亿,-1.60亿,16.51亿
26,600884,杉杉股份,14.37,10.03%,9.84%,14.84亿,10.45亿,4.39亿,25.28亿
27,003018,金富科技,20.54,10.02%,2.34%,0.00,4661.61万,-4661.61万,4713.38万
28,002207,准油股份,10.32,10.02%,23.04%,3.38亿,2.48亿,8967.83万,5.86亿
29,603607,京华激光,25.47,10.02%,8.22%,1.85亿,1.79亿,596.73万,3.64亿
30,603138,海量数据,18.22,10.02%,12.93%,2.70亿,3.93亿,-1.23亿,6.63亿
31,600686,金龙汽车,19.21,10.02%,5.11%,3.59亿,3.27亿,3190.03万,6.86亿
32,600230,沧州大化,21.63,10.02%,8.12%,3.99亿,2.95亿,1.04亿,6.94亿
33,002957,科瑞技术,28.78,10.02%,9.22%,5.72亿,4.91亿,8050.22万,10.63亿
34,002326,永太科技,28.77,10.02%,12.55%,14.49亿,13.88亿,6174.50万,28.37亿
35,603667,五洲新春,85.65,10.01%,12.85%,19.49亿,19.61亿,-1204.10万,39.09亿
36,600345,长江通信,40.0,10.01%,15.16%,5.12亿,7.45亿,-2.33亿,12.57亿
37,002842,翔鹭钨业,28.46,10.01%,20.77%,8.56亿,6.78亿,1.78亿,15.35亿
38,002830,名雕股份,30.65,10.01%,38.19%,4.27亿,2.91亿,1.35亿,7.19亿
39,002624,完美世界,19.57,10.01%,5.87%,9.47亿,10.55亿,-1.08亿,20.07亿
40,002150,正泰电源,25.73,10.00%,5.75%,2.75亿,2.38亿,3724.81万,5.12亿
41,001360,南矿集团,25.52,10.00%,11.86%,4798.06万,1.95亿,-1.47亿,2.43亿
42,603881,数据港,39.16,10.00%,14.52%,16.53亿,22.90亿,-6.38亿,39.43亿
43,603823,百合花,18.48,10.00%,2.51%,8620.63万,9769.24万,-1148.61万,1.84亿
44,600814,杭州解百,10.78,10.00%,9.42%,1917.38万,7.27亿,-7.08亿,7.46亿
45,600759,洲际油气,5.5,10.00%,20.85%,24.21亿,20.03亿,4.18亿,44.23亿
46,002943,宇晶股份,84.36,10.00%,16.61%,9.49亿,9.70亿,-2119.80万,19.19亿
47,002921,联诚精密,25.73,10.00%,4.24%,6106.48万,7591.04万,-1484.56万,1.37亿
48,002812,恩捷股份,57.44,10.00%,6.47%,17.64亿,11.71亿,5.94亿,29.46亿
49,002412,汉森制药,7.59,10.00%,15.93%,1.99亿,3.98亿,-1.98亿,5.97亿
50,002339,积成电子,12.76,10.00%,13.51%,3.54亿,4.52亿,-9825.51万,8.06亿
51,002155,湖南黄金,35.98,10.00%,13.90%,34.68亿,39.92亿,-5.24亿,74.60亿
52,002112,三变科技,25.41,10.00%,24.14%,7.22亿,8.25亿,-1.03亿,15.47亿
53,002009,天奇股份,31.68,10.00%,21.55%,12.82亿,10.34亿,2.48亿,23.16亿
54,605488,福莱新材,43.05,9.99%,7.07%,3.79亿,4.26亿,-4698.82万,8.04亿
55,603663,三祥新材,42.93,9.99%,3.67%,3.27亿,3.11亿,1548.73万,6.38亿
56,603626,科森科技,24.23,9.99%,7.85%,4.54亿,5.59亿,-1.06亿,10.13亿
57,002772,众兴菌业,18.39,9.99%,6.05%,2.05亿,2.15亿,-1048.91万,4.21亿
58,002759,天际股份,40.29,9.99%,15.08%,14.73亿,14.97亿,-2430.50万,29.75亿
59,002440,闰土股份,13.21,9.99%,9.12%,5.18亿,5.94亿,-7593.49万,11.12亿
60,002345,潮宏基,13.56,9.98%,4.68%,2.76亿,2.60亿,1635.89万,5.35亿
61,603331,百达精工,17.75,9.98%,14.77%,2.40亿,2.71亿,-3157.85万,5.11亿
62,002455,百川股份,11.14,9.97%,25.15%,7.29亿,6.81亿,4847.90万,14.10亿
63,000767,晋控电力,3.42,9.97%,11.93%,3.93亿,7.73亿,-3.80亿,11.68亿
64,003041,真爱美家,63.35,9.96%,9.39%,2.96亿,5.03亿,-2.06亿,8.03亿
65,002099,海翔药业,7.51,9.96%,6.25%,3.08亿,4.27亿,-1.19亿,7.35亿
66,002054,德美化工,10.05,9.96%,18.94%,2.97亿,4.21亿,-1.24亿,7.19亿
67,002072,凯瑞德,8.4,9.95%,5.97%,7261.08万,1.06亿,-3288.99万,1.78亿
68,603616,韩建河山,8.29,9.95%,16.87%,7562.56万,4.60亿,-3.85亿,5.36亿
69,603959,百利科技,6.41,9.95%,9.87%,1.44亿,1.61亿,-1684.99万,3.05亿
70,600987,航民股份,8.29,9.95%,5.63%,1.58亿,3.09亿,-1.51亿,4.66亿
71,301292,海科新源,57.4,9.94%,26.05%,7.32亿,5.15亿,2.17亿,12.46亿
72,600063,皖维高新,7.3,9.94%,5.27%,4.13亿,3.61亿,5218.71万,7.74亿
73,688277,天智航,27.05,9.83%,6.09%,4.24亿,3.02亿,1.23亿,7.26亿
74,300164,通源石油,12.64,9.72%,39.32%,15.45亿,12.19亿,3.26亿,28.03亿
75,002378,章源钨业,24.63,9.22%,10.70%,19.29亿,11.53亿,7.76亿,30.82亿
76,000415,渤海租赁,5.21,9.22%,4.83%,8.95亿,4.22亿,4.73亿,13.22亿
77,688312,燕麦科技,49.8,9.21%,10.45%,3.90亿,3.49亿,4107.10万,7.39亿
78,301387,光大同创,62.56,9.18%,15.27%,2.23亿,1.82亿,4082.90万,4.04亿
79,300666,江丰电子,123.61,8.93%,19.26%,27.55亿,23.94亿,3.61亿,51.49亿
80,688726,拉普拉斯,72.5,8.76%,15.12%,13.03亿,10.25亿,2.78亿,23.27亿
81,603730,岱美股份,10.87,8.70%,3.02%,3.75亿,3.16亿,5857.79万,6.91亿
82,603958,哈森股份,21.94,8.67%,11.22%,2.92亿,2.39亿,5341.03万,5.31亿
83,301004,嘉益股份,56.27,8.52%,2.58%,1.22亿,7084.40万,5104.18万,1.93亿
84,301040,中环海陆,37.99,8.48%,21.52%,4.10亿,3.67亿,4294.79万,7.78亿
85,300812,易天股份,32.43,8.28%,25.02%,4.10亿,3.25亿,8541.73万,7.35亿
86,688516,奥特维,117.8,8.09%,7.78%,14.63亿,13.04亿,1.59亿,27.67亿
87,002916,深南电路,243.47,8.09%,3.21%,23.61亿,27.65亿,-4.03亿,51.55亿
88,002342,巨力索具,20.4,8.05%,42.12%,38.35亿,43.35亿,-5.00亿,81.70亿
89,601869,长飞光纤,174.77,8.04%,5.22%,16.94亿,20.08亿,-3.13亿,37.02亿
90,603232,格尔软件,27.08,7.97%,25.23%,7.81亿,7.83亿,-287.60万,15.64亿
91,301550,斯菱智驱,178.0,7.94%,9.99%,12.72亿,11.80亿,9164.10万,24.52亿
92,603755,日辰股份,38.81,7.90%,5.21%,1.22亿,7255.28万,4935.66万,1.94亿
93,001209,洪兴股份,24.8,7.87%,19.89%,2.71亿,1.74亿,9695.33万,4.54亿
94,601231,环旭电子,36.5,7.83%,3.36%,15.09亿,14.10亿,9867.10万,29.20亿
95,301036,双乐股份,36.2,7.71%,19.43%,2.94亿,2.07亿,8696.28万,5.01亿
96,000973,佛塑科技,12.91,7.67%,11.82%,8.15亿,6.42亿,1.73亿,14.64亿
97,002082,万邦德,16.74,7.51%,4.02%,2.14亿,1.52亿,6266.62万,3.66亿
98,688651,盛邦安全,50.6,7.27%,10.57%,8867.68万,8172.97万,694.71万,1.70亿
99,688202,美迪西,70.0,7.20%,6.30%,3.67亿,2.10亿,1.57亿,5.77亿
100,300843,胜蓝股份,58.16,7.15%,10.98%,5.26亿,4.69亿,5752.51万,9.95亿
101,301331,恩威医药,31.3,7.08%,6.78%,1.16亿,1.05亿,1110.37万,2.22亿
102,301018,申菱环境,72.01,6.95%,9.63%,8.31亿,5.37亿,2.93亿,13.68亿
103,603381,永臻股份,25.72,6.94%,16.41%,3.39亿,2.51亿,8863.46万,5.90亿
104,300044,ST赛为,6.93,6.94%,8.73%,2.50亿,1.67亿,8237.31万,4.22亿
105,600331,宏达股份,17.45,6.86%,5.67%,11.98亿,7.57亿,4.41亿,19.54亿
106,002240,盛新锂能,36.44,6.83%,5.92%,11.65亿,7.58亿,4.07亿,19.24亿
107,001203,大中矿业,30.21,6.79%,2.96%,6.89亿,4.70亿,2.19亿,11.66亿
108,688367,工大高科,40.3,6.75%,6.24%,1.42亿,7553.32万,6683.13万,2.18亿
109,300338,ST开元,4.11,6.75%,8.25%,6592.10万,5216.71万,1375.39万,1.18亿
110,300572,安车检测,30.5,6.72%,9.94%,3.24亿,2.35亿,8865.40万,5.59亿
111,001896,豫能控股,6.51,6.72%,5.29%,3.14亿,2.06亿,1.07亿,5.20亿
112,603016,新宏泰,35.5,6.70%,4.46%,1.25亿,1.04亿,2037.87万,2.29亿
113,301322,绿通科技,30.16,6.65%,5.19%,8800.94万,5210.66万,3590.28万,1.40亿
114,688529,豪森智能,20.38,6.65%,3.41%,6849.26万,4697.68万,2151.58万,1.15亿
115,688293,奥浦迈,55.9,6.64%,2.48%,9794.79万,6002.74万,3792.05万,1.58亿
116,002259,升达林业,6.29,6.61%,9.22%,2.43亿,1.87亿,5517.67万,4.31亿
117,603629,利通电子,46.01,6.60%,21.75%,12.58亿,12.65亿,-727.80万,25.23亿
118,301150,中一科技,41.58,6.48%,5.77%,3.35亿,1.95亿,1.40亿,5.30亿
119,688386,泛亚微透,97.3,6.47%,3.75%,1.78亿,1.46亿,3183.78万,3.24亿
120,301285,鸿日达,74.44,6.46%,6.67%,2.25亿,1.58亿,6699.17万,3.84亿
121,603578,三星新材,16.22,6.36%,4.83%,7301.89万,6456.07万,845.82万,1.38亿
122,300191,潜能恒信,33.1,6.29%,14.86%,5.51亿,5.00亿,5151.59万,10.68亿
123,600352,浙江龙盛,14.95,6.18%,4.38%,12.04亿,9.18亿,2.86亿,21.22亿
124,002709,天赐材料,41.78,6.18%,5.92%,22.30亿,14.28亿,8.02亿,36.85亿
125,301501,恒鑫生活,44.96,6.16%,13.75%,1.44亿,8240.35万,6170.10万,2.27亿
126,603916,苏博特,12.55,6.09%,11.75%,2.70亿,3.56亿,-8587.13万,6.27亿
127,002407,多氟多,29.74,6.06%,10.18%,19.97亿,12.64亿,7.33亿,32.61亿
128,301413,安培龙,175.32,6.04%,12.14%,7.27亿,4.97亿,2.30亿,12.23亿
129,600152,维科技术,8.08,6.04%,8.42%,2.08亿,1.48亿,5986.27万,3.56亿
130,300217,东方电热,6.17,6.01%,13.73%,6.02亿,4.09亿,1.93亿,10.24亿
131,002001,新和成,29.67,6.00%,2.78%,14.66亿,10.46亿,4.20亿,25.12亿
132,688017,绿的谐波,217.4,5.99%,6.67%,15.05亿,11.12亿,3.93亿,26.17亿
133,300401,花园生物,19.15,5.98%,11.34%,6.99亿,4.59亿,2.40亿,11.58亿
134,600236,桂冠电力,8.97,5.90%,0.26%,1.10亿,7392.65万,3563.50万,1.83亿
135,002937,兴瑞科技,23.86,5.90%,4.50%,2.02亿,1.10亿,9135.92万,3.14亿
136,603391,力聚热能,72.0,5.88%,19.63%,1.80亿,1.40亿,4036.96万,3.20亿
137,301000,肇民科技,40.35,5.88%,4.47%,2.56亿,1.54亿,1.02亿,4.11亿
138,002272,川润股份,15.39,5.85%,8.97%,3.33亿,1.89亿,1.44亿,5.22亿
139,300011,鼎汉技术,8.93,5.81%,4.90%,1.24亿,9507.75万,2872.45万,2.19亿
140,605060,联德股份,47.95,5.80%,4.12%,2.17亿,2.39亿,-2273.58万,4.56亿
141,688353,华盛锂电,104.21,5.80%,5.14%,4.71亿,3.77亿,9315.74万,8.48亿
142,002441,众业达,11.14,5.79%,13.95%,3.37亿,2.72亿,6439.42万,6.09亿
143,301228,实朴检测,41.55,5.75%,3.74%,1.17亿,6643.84万,5074.69万,1.84亿
144,600487,亨通光电,36.7,5.67%,7.39%,35.45亿,30.26亿,5.19亿,65.71亿
145,000688,国城矿业,27.57,5.67%,1.94%,3.63亿,2.61亿,1.02亿,6.27亿
146,300814,中富电路,77.3,5.66%,9.00%,8.48亿,4.88亿,3.60亿,13.36亿
147,688143,长盈通,57.66,5.66%,9.96%,3.79亿,3.22亿,5716.57万,7.00亿
148,301111,粤万年青,21.61,5.62%,12.97%,2.43亿,2.23亿,1938.59万,4.66亿
149,300798,锦鸡股份,9.59,5.62%,21.36%,4.40亿,3.39亿,1.01亿,7.79亿
150,603687,大胜达,11.3,5.61%,3.91%,1.48亿,9235.66万,5559.20万,2.40亿
151,000657,中钨高新,48.0,5.61%,6.65%,26.30亿,19.15亿,7.15亿,45.73亿
152,688223,晶科能源,8.33,5.58%,5.32%,24.29亿,19.45亿,4.84亿,43.74亿
153,600498,烽火通信,41.25,5.58%,13.94%,39.96亿,34.19亿,5.76亿,74.15亿
154,603619,中曼石油,32.59,5.57%,8.89%,6.44亿,6.59亿,-1450.69万,13.03亿
155,603051,鹿山新材,27.71,5.56%,14.98%,3.63亿,2.96亿,6715.07万,6.59亿
156,000007,全新好,11.81,5.54%,4.78%,1.22亿,7205.69万,5007.75万,1.95亿
157,300270,中威电子,11.83,5.53%,7.24%,1.32亿,8918.42万,4254.25万,2.23亿
158,603103,横店影视,33.4,5.50%,5.90%,4.88亿,7.78亿,-2.90亿,12.67亿
159,300212,易华录,12.48,5.49%,7.10%,3.18亿,2.89亿,2837.69万,6.14亿
160,000554,泰山石油,8.28,5.48%,13.47%,2.16亿,1.72亿,4371.05万,3.94亿
161,002287,奇正藏药,25.13,5.41%,2.83%,2.37亿,1.69亿,6826.55万,4.06亿
162,688090,瑞松科技,54.6,5.41%,8.11%,2.84亿,2.58亿,2582.92万,5.43亿
163,301156,美农生物,20.34,5.39%,11.18%,1.04亿,9980.17万,417.11万,2.04亿
164,605069,正和生态,14.3,5.38%,24.77%,1.64亿,1.34亿,3013.29万,2.97亿
165,002986,宇新股份,12.73,5.38%,3.36%,7473.38万,5236.55万,2236.83万,1.27亿
166,300702,天宇股份,25.6,5.35%,3.92%,1.38亿,7235.08万,6589.59万,2.11亿
167,300490,华自科技,17.13,5.35%,12.96%,4.85亿,3.70亿,1.15亿,8.55亿
168,688048,长光华芯,132.96,5.31%,7.15%,9.44亿,7.20亿,2.24亿,16.63亿
169,301210,金杨精密,40.84,5.28%,21.89%,1.95亿,1.85亿,1002.60万,3.81亿
170,000949,新乡化纤,6.79,5.27%,5.66%,3.38亿,2.91亿,4722.89万,6.31亿
171,605599,菜百股份,28.06,5.25%,3.11%,3.37亿,3.22亿,1459.97万,6.58亿
172,688337,普源精电,39.75,5.19%,2.67%,1.30亿,6307.90万,6676.05万,1.93亿
173,000820,*ST节能,3.47,5.15%,2.49%,1636.71万,882.77万,753.94万,2527.98万
174,301358,湖南裕能,64.46,5.15%,8.60%,13.31亿,8.00亿,5.31亿,21.31亿
175,301486,致尚科技,206.51,5.14%,12.29%,9.81亿,8.60亿,1.21亿,18.41亿
176,600481,双良节能,10.51,5.10%,16.08%,16.31亿,14.04亿,2.28亿,30.35亿
177,000510,新金路,15.7,5.09%,9.16%,5.03亿,3.45亿,1.58亿,8.60亿
178,605196,华通线缆,42.98,5.06%,2.50%,3.28亿,2.08亿,1.20亿,5.36亿
179,301085,亚康股份,62.32,5.04%,13.45%,2.50亿,2.39亿,1125.14万,4.90亿
180,000711,ST京蓝,2.71,5.04%,0.29%,0.00,1816.45万,-1816.45万,1822.36万
181,300933,中辰股份,9.18,5.03%,5.35%,1.62亿,1.04亿,5748.29万,2.66亿
182,603580,*ST艾艾,14.63,5.03%,1.43%,1518.49万,1157.30万,361.19万,2675.79万
183,600522,中天科技,21.91,5.03%,5.21%,22.28亿,16.57亿,5.70亿,38.85亿
184,001301,尚太科技,78.92,5.02%,3.57%,3.20亿,1.95亿,1.25亿,5.17亿
185,603637,镇海股份,12.97,5.02%,5.69%,1.06亿,6949.65万,3673.95万,1.76亿
186,300152,ST新动力,2.72,5.02%,27.79%,2.74亿,2.87亿,-1261.79万,5.65亿
187,002630,ST华西,2.51,5.02%,7.33%,9145.82万,9631.25万,-485.43万,1.88亿
188,301133,金钟股份,38.42,5.00%,3.38%,7175.42万,7245.36万,-69.95万,1.44亿
189,600714,金瑞矿业,15.56,4.99%,5.68%,1.43亿,1.11亿,3184.96万,2.53亿
190,000609,ST中迪,8.23,4.97%,0.23%,0.00,540.79万,-540.79万,544.41万
191,300960,通业科技,26.69,4.95%,3.38%,6863.05万,4807.98万,2055.07万,1.17亿
192,688485,九州一轨,24.07,4.93%,5.62%,6710.37万,5368.54万,1341.83万,1.21亿
193,300819,聚杰微纤,41.18,4.92%,9.64%,3.09亿,2.25亿,8373.34万,5.35亿
194,300263,隆华科技,11.72,4.92%,11.85%,7.35亿,6.00亿,1.35亿,13.47亿
195,600381,*ST春天,2.99,4.91%,2.12%,2630.35万,926.55万,1703.80万,3556.90万
196,600977,中国电影,18.39,4.91%,6.58%,12.47亿,9.62亿,2.86亿,22.09亿
197,002413,雷科防务,15.37,4.91%,27.87%,28.61亿,25.64亿,2.97亿,54.24亿
198,300539,横河精密,34.26,4.90%,5.58%,1.85亿,1.44亿,4037.83万,3.29亿
199,001230,劲旅环境,24.71,4.88%,7.43%,8746.70万,5388.55万,3358.15万,1.43亿
200,002667,威领股份,20.4,4.88%,9.70%,2.31亿,2.18亿,1266.42万,4.55亿
201,002490,山东墨龙,8.19,4.87%,13.29%,3.37亿,2.42亿,9548.79万,5.79亿
202,301076,新瀚新材,44.19,4.86%,6.19%,1.80亿,1.19亿,6085.56万,3.00亿
203,603301,振德医疗,73.35,4.86%,1.49%,2.00亿,8599.81万,1.14亿,2.86亿
204,002493,荣盛石化,14.46,4.86%,0.80%,6.26亿,4.45亿,1.81亿,10.72亿
205,301062,上海艾录,10.37,4.85%,7.49%,1.34亿,1.06亿,2745.54万,2.40亿
206,002463,沪电股份,69.16,4.84%,4.27%,37.27亿,19.27亿,18.00亿,56.54亿
207,000703,恒逸石化,12.56,4.84%,1.28%,3.52亿,2.12亿,1.40亿,5.66亿
208,002623,亚玛顿,28.15,4.80%,13.97%,4.47亿,3.16亿,1.31亿,7.74亿
209,300157,新锦动力,6.33,4.80%,24.76%,6.10亿,4.68亿,1.42亿,10.94亿
210,000782,恒申新材,6.13,4.79%,5.37%,9990.74万,7080.27万,2910.47万,1.71亿
211,003038,鑫铂股份,18.19,4.78%,18.96%,3.48亿,2.22亿,1.26亿,5.70亿
212,301246,宏源药业,21.95,4.77%,9.88%,1.85亿,1.61亿,2375.83万,3.46亿
213,300345,华民股份,7.68,4.77%,16.42%,3.16亿,2.90亿,2589.82万,6.05亿
214,002299,圣农发展,18.05,4.76%,2.87%,3.86亿,2.45亿,1.41亿,6.30亿
215,605366,宏柏新材,7.5,4.75%,5.21%,1.42亿,1.10亿,3268.09万,2.52亿
216,002064,华峰化学,11.98,4.72%,1.30%,4.53亿,3.13亿,1.40亿,7.66亿
217,688678,福立旺,22.5,4.70%,4.69%,1.70亿,1.17亿,5342.59万,2.87亿
218,002083,孚日股份,12.02,4.70%,7.38%,4.76亿,3.59亿,1.17亿,8.35亿
219,002850,科达利,169.45,4.69%,4.58%,9.23亿,5.84亿,3.39亿,15.18亿
220,002167,东方锆业,13.0,4.67%,5.83%,3.15亿,2.51亿,6414.93万,5.66亿
221,300706,阿石创,43.16,4.63%,24.64%,7.15亿,4.80亿,2.35亿,11.95亿
222,000559,万向钱潮,17.42,4.62%,5.17%,16.32亿,13.28亿,3.05亿,29.83亿
223,603900,莱绅通灵,9.07,4.61%,8.06%,1.32亿,1.15亿,1717.09万,2.47亿
224,002731,萃华珠宝,11.34,4.61%,12.74%,1.88亿,1.43亿,4504.95万,3.31亿
225,301591,肯特股份,48.0,4.60%,10.32%,8583.80万,8146.01万,437.79万,1.67亿
226,688309,恒誉环保,33.09,4.55%,3.51%,5493.29万,3586.93万,1906.35万,9080.22万
227,601689,拓普集团,72.6,4.55%,2.55%,17.59亿,14.50亿,3.09亿,32.09亿
228,000533,顺钠股份,11.27,4.55%,26.88%,10.98亿,9.50亿,1.48亿,20.64亿
229,002915,中欣氟材,23.25,4.54%,6.54%,2.75亿,1.65亿,1.10亿,4.40亿
230,002545,东方铁塔,26.72,4.54%,2.00%,3.10亿,2.81亿,2918.11万,5.98亿
231,002879,长缆科技,22.31,4.50%,11.31%,2.08亿,1.37亿,7107.22万,3.49亿
232,002497,雅化集团,25.11,4.49%,4.14%,7.13亿,3.80亿,3.33亿,10.92亿
233,001288,运机集团,36.18,4.45%,3.69%,1.14亿,8542.36万,2889.45万,2.01亿
234,300945,曼卡龙,19.47,4.45%,14.06%,3.72亿,2.76亿,9652.22万,6.48亿
235,002800,天顺股份,18.13,4.44%,9.22%,1.04亿,1.30亿,-2636.03万,2.37亿
236,300254,仟源医药,11.78,4.43%,18.21%,2.53亿,2.34亿,1952.83万,4.87亿
237,688229,博睿数据,83.9,4.42%,8.05%,1.42亿,1.50亿,-811.64万,2.91亿
238,600589,大位科技,9.46,4.42%,12.20%,9.81亿,6.95亿,2.86亿,16.76亿
239,300203,聚光科技,15.91,4.40%,3.05%,1.28亿,8753.06万,4042.14万,2.16亿
240,300209,有棵树,7.37,4.39%,11.88%,3.31亿,2.71亿,5979.73万,6.18亿
241,688322,奥比中光,92.95,4.37%,3.05%,5.06亿,3.93亿,1.13亿,8.99亿
242,600367,红星发展,18.9,4.36%,8.45%,2.95亿,2.18亿,7621.96万,5.13亿
243,301105,鸿铭股份,52.73,4.35%,11.02%,5657.36万,3758.74万,1898.63万,9416.10万
244,301252,同星科技,32.42,4.35%,10.48%,9628.79万,6282.31万,3346.48万,1.59亿
245,688136,科兴制药,31.66,4.35%,2.61%,8180.71万,8372.39万,-191.68万,1.66亿
246,000700,模塑科技,15.38,4.34%,12.89%,10.03亿,8.03亿,2.00亿,18.17亿
247,688419,耐科装备,45.27,4.31%,7.37%,1.08亿,9022.12万,1736.76万,1.98亿
248,300619,金银河,51.08,4.31%,8.29%,3.65亿,2.51亿,1.13亿,6.16亿
249,300757,罗博特科,399.0,4.29%,7.50%,24.45亿,20.79亿,3.66亿,45.25亿
250,603191,望变电气,20.26,4.27%,7.14%,2.62亿,2.15亿,4758.46万,4.77亿
251,300911,亿田智能,37.44,4.23%,2.54%,8832.88万,7281.60万,1551.28万,1.61亿
252,603867,新化股份,31.26,4.23%,6.62%,2.74亿,1.75亿,9939.11万,4.49亿
253,600160,巨化股份,39.3,4.22%,1.22%,7.54亿,5.29亿,2.25亿,12.83亿
254,600076,康欣新材,3.95,4.22%,4.03%,1.20亿,9362.30万,2658.88万,2.14亿
255,600216,浙江医药,15.6,4.21%,7.21%,6.33亿,4.32亿,2.01亿,10.65亿
256,002960,青鸟消防,11.43,4.19%,3.43%,1.70亿,1.23亿,4673.16万,2.93亿
257,300448,浩云科技,9.96,4.18%,8.61%,3.15亿,2.32亿,8311.40万,5.46亿
258,688221,前沿生物,23.1,4.15%,3.73%,1.69亿,1.51亿,1812.09万,3.20亿
259,603313,梦百合,9.83,4.13%,3.56%,1.19亿,7965.90万,3971.93万,1.99亿
260,301112,信邦智能,38.16,4.12%,2.17%,5209.91万,3872.41万,1337.49万,9082.32万
261,301362,民爆光电,97.12,4.11%,46.10%,6.17亿,6.30亿,-1248.00万,12.47亿
262,603507,振江股份,32.7,4.11%,10.39%,3.25亿,2.82亿,4368.66万,6.07亿
263,001317,三羊马,51.94,4.09%,8.91%,2.29亿,1.61亿,6830.72万,3.92亿
264,603026,石大胜华,66.99,4.09%,3.92%,3.05亿,2.25亿,8061.88万,5.30亿
265,002739,万达电影,12.56,4.06%,10.71%,15.57亿,12.03亿,3.55亿,28.02亿
266,603135,中重科技,12.08,4.05%,4.66%,8046.89万,6060.19万,1986.70万,1.41亿
267,300444,双杰电气,15.41,4.05%,25.17%,13.06亿,11.21亿,1.85亿,24.42亿
268,300265,通光线缆,16.68,4.05%,23.14%,9.35亿,8.86亿,4901.44万,18.40亿
269,002208,合肥城建,14.65,4.05%,7.85%,5.16亿,3.94亿,1.22亿,9.10亿
270,603033,三维股份,11.63,4.03%,1.55%,1.06亿,7471.65万,3099.05万,1.80亿
271,300497,富祥药业,15.79,4.02%,6.87%,2.85亿,1.95亿,8936.38万,4.80亿
272,600329,达仁堂,47.76,4.01%,2.40%,3.46亿,3.04亿,4167.99万,6.50亿
273,300329,海伦钢琴,14.54,4.01%,3.33%,8067.79万,3976.42万,4091.37万,1.21亿
274,601615,明阳智能,24.2,4.00%,5.43%,17.29亿,12.34亿,4.94亿,29.63亿
275,301182,凯旺科技,53.95,3.99%,10.01%,2.70亿,2.48亿,2117.83万,5.18亿
276,002806,华锋股份,14.33,3.99%,13.81%,1.93亿,1.46亿,4754.33万,3.43亿
277,600206,有研新材,21.42,3.98%,5.85%,5.65亿,4.98亿,6684.35万,10.63亿
278,002950,奥美医疗,11.0,3.97%,3.23%,9883.50万,6069.09万,3814.42万,1.60亿
279,002827,高争民爆,36.15,3.97%,2.74%,1.45亿,1.24亿,2079.22万,2.72亿
280,605377,华旺科技,9.18,3.96%,3.50%,1.18亿,5928.33万,5849.81万,1.77亿
281,002828,贝肯能源,12.9,3.95%,13.79%,1.84亿,1.55亿,2887.91万,3.39亿
282,600550,保变电气,15.61,3.93%,9.24%,15.44亿,11.34亿,4.10亿,26.78亿
283,603421,鼎信通讯,7.96,3.92%,3.92%,1.13亿,8825.49万,2436.74万,2.01亿
284,000990,诚志股份,8.51,3.91%,4.16%,2.49亿,1.78亿,7084.70万,4.32亿
